exp05-base-web-rep4,base,web,4,5038,3831,0c3776d453a9c0aa8d747a73ab07fd0cd8ab8816fb42833bb2f901e61c2f2b51
exp05-mux-bulk_voip-rep1,mux,bulk+voip,1,5039,54439,d87134a2a2b766a6f24b82fbe8818fa20077caf5417dd0fa2ed3f1127d3c4305
exp05-tfc-voip-rep1,tfc,voip,1,5040,2004,6d8c60460611a484a220e23379ba256c6af8d5c00caa8606916f3233c9ef8d45
exp05-base-video-rep3,base,video,3,5041,5527,493df2b7eb4e59b50a6294e562dfd6aad374f2463c02c290fe24c7e70274fb38
exp05-mux-bulk_voip-rep3,mux,bulk+voip,3,5042,54059,32d2f8913efa3dd6c3134f979b274d88dfc738824acc80e61cfbbc68ec116ee8
exp05-mux-voip_web-rep3,mux,voip+web,3,5043,4054,10040fd43420d95e50ed5cf993f4d2bde1abd3cbeae522e3bbb7d71f99183b01
exp05-tfc-voip-rep4,tfc,voip,4,5044,2000,5d38073ca5d6f6079ea9412bbc678b4adff0f9705e842c47a39b7a2b1eb77e1a
exp05-base-voip-rep4,base,voip,4,5045,2006,1c8499191d9e620bc77533c68cbfc9a2c309abecc5aecb7e63b0a04b903aa319
exp05-base-web-rep1,base,web,1,5046,5743,2482b4eb8dec496719ad1969acfb6cb6c427ed1f635e0581388b8648eb28f44f
exp05-tfc-bulk-rep1,tfc,bulk,1,5047,52364,efba36c6b66b8e1cc08bcd7152da71b0621b82914481b7788c39a3f4bb8b4c89
exp05-base-voip-rep2,base,voip,2,5048,2002,a78579633ce78aaadb8aeaceca5e09355057650506c7961fdb2205903160f08f
exp05-base-web-rep3,base,web,3,5049,4621,decb68f988d5cbed85c43983cd4a8a22f895224299f99e39c5385c4c708dae27
exp05-base-video-rep4,base,video,4,5050,5550,04cd8ad7ab740bb6fd51340ab7580b6b63a57b04af4c78d0606bd2a17c146054
exp05-base-interactive-rep1,base,interactive,1,5051,370,8a2dac1a7467b25033d1071ab0b88bb68339170df0a476359f06a6db3f6b2e5b
